	Pixel	HATCN	TAPC	CBP	TxOPhCz	OcO-BsubPc	B3PYMPM	LiQ	Al
0	A1	113.13675224416517	262.45831928125	161.39834041430413	42.347905929018786	1.6614238854520917	445.9541888051282	11.214712665847665	756.9194459903226
1	A2	110.73459784560143	271.56894428124997	164.96818577512886	40.783146012526096	1.6453331971929825	463.34788111282046	11.112255663390663	747.9138330870968
2	A3	108.33244344703769	280.67956928125	168.53803113595362	39.2183860960334	1.6292425089338731	480.74157342051285	11.00979866093366	738.908220183871
3	A4	105.93028904847397	289.79019428125	172.10787649677835	37.65362617954071	1.613151820674764	498.13526572820507	10.907341658476659	729.9026072806452
4	A5	103.52813464991023	298.90081928125	175.67772185760307	36.08886626304801	1.5970611324156547	515.5289580358974	10.804884656019656	720.8969943774193
5	B1	107.98953500897666	274.26181928125	163.2667798472938	40.14732137787056	1.7944154104183536	458.5442759846153	10.597218808353807	652.7377427645162
6	B2	105.58738061041292	283.37244428124995	166.83662520811856	38.58256146137787	1.7783247221592442	475.9379682923077	10.494761805896804	643.7321298612903
7	B3	103.1852262118492	292.48306928125	170.4064705689433	37.017801544885174	1.7622340339001352	493.3316606	10.392304803439801	634.7265169580645
8	B4	100.78307181328546	301.59369428124995	173.97631592976802	35.453041628392484	1.7461433456410258	510.7253529076923	10.2898478009828	625.7209040548387
9	B5	98.38091741472172	310.70431928125	177.54616129059278	33.88828171189979	1.7300526573819164	528.1190452153845	10.187390798525797	616.715291151613
10	C1	101.57660861759425	288.96781928124994	165.5946715998711	37.405609478079334	1.9601097693927125	474.23028624102557	9.827882199017198	522.9375879258065
11	C2	99.17445421903052	298.07844428125	169.16451696069586	35.84084956158664	1.944019081133603	491.62397854871796	9.725425196560197	513.9319750225807
12	C3	96.77229982046678	307.18906928124994	172.73436232152062	34.27608964509394	1.9279283928744937	509.01767085641023	9.622968194103194	504.9263621193549
13	C4	94.37014542190305	316.29969428124997	176.30420768234535	32.71132972860125	1.9118377046153847	526.4113631641026	9.520511191646191	495.92074921612914
14	C5	91.96799102333932	325.41031928125	179.8740530431701	31.14656981210856	1.8957470163562753	543.8050554717948	9.418054189189188	486.9151363129033
15	D1	96.42939138240575	300.77131928125	167.4631110328608	35.2050249269311	2.0931012943589744	486.8203734205128	9.210388341523341	418.7558847000001
16	D2	94.02723698384202	309.88194428125	171.03295639368557	33.64026501043841	2.077010606099865	504.21406572820507	9.107931339066338	409.75027179677426
17	D3	91.62508258527828	318.99256928125	174.6028017545103	32.07550509394572	2.060919917840756	521.6077580358974	9.005474336609335	400.7446588935484
18	D4	89.22292818671454	328.10319428125	178.17264711533505	30.51074517745303	2.0448292295816466	539.0014503435897	8.903017334152333	391.73904599032267
19	D5	86.82077378815082	337.21381928125	181.7424924761598	28.945985260960335	2.028738541322537	556.3951426512821	8.80056033169533	382.7334330870968
